company_id,company_name,metric_id,metric_name,fiscal_year,value
INE404A01024,Aditya Birla Sun Life AMC Limited,42,Working Capital Turnover Ratio (x),2020,
INE404A01024,Aditya Birla Sun Life AMC Limited,42,Working Capital Turnover Ratio (x),2021,
INE404A01024,Aditya Birla Sun Life AMC Limited,42,Working Capital Turnover Ratio (x),2022,
INE404A01024,Aditya Birla Sun Life AMC Limited,42,Working Capital Turnover Ratio (x),2023,
INE404A01024,Aditya Birla Sun Life AMC Limited,42,Working Capital Turnover Ratio (x),2024,
INE404A01024,Aditya Birla Sun Life AMC Limited,22,Total Debt/Equity (x),2020,
INE404A01024,Aditya Birla Sun Life AMC Limited,22,Total Debt/Equity (x),2021,
INE404A01024,Aditya Birla Sun Life AMC Limited,22,Total Debt/Equity (x),2022,
INE404A01024,Aditya Birla Sun Life AMC Limited,22,Total Debt/Equity (x),2023,
INE404A01024,Aditya Birla Sun Life AMC Limited,22,Total Debt/Equity (x),2024,
INE404A01024,Aditya Birla Sun Life AMC Limited,50,Tangible Book Value/Share (₹),2020,724.2355000000001
INE404A01024,Aditya Birla Sun Life AMC Limited,50,Tangible Book Value/Share (₹),2021,939.0693888888889
INE404A01024,Aditya Birla Sun Life AMC Limited,50,Tangible Book Value/Share (₹),2022,75.87673958333333
INE404A01024,Aditya Birla Sun Life AMC Limited,50,Tangible Book Value/Share (₹),2023,87.05520833333331
INE404A01024,Aditya Birla Sun Life AMC Limited,50,Tangible Book Value/Share (₹),2024,109.5722416219616
INE404A01024,Aditya Birla Sun Life AMC Limited,27,Short-term Debt/Equity (x),2020,
INE404A01024,Aditya Birla Sun Life AMC Limited,27,Short-term Debt/Equity (x),2021,
INE404A01024,Aditya Birla Sun Life AMC Limited,27,Short-term Debt/Equity (x),2022,
INE404A01024,Aditya Birla Sun Life AMC Limited,27,Short-term Debt/Equity (x),2023,
INE404A01024,Aditya Birla Sun Life AMC Limited,27,Short-term Debt/Equity (x),2024,
INE404A01024,Aditya Birla Sun Life AMC Limited,30,Shareholder Equity Ratio (%),2020,0.8377258396882926
INE404A01024,Aditya Birla Sun Life AMC Limited,30,Shareholder Equity Ratio (%),2021,0.8589415006748882
INE404A01024,Aditya Birla Sun Life AMC Limited,30,Shareholder Equity Ratio (%),2022,0.9021302614476746
INE404A01024,Aditya Birla Sun Life AMC Limited,30,Shareholder Equity Ratio (%),2023,0.9027552616099737
INE404A01024,Aditya Birla Sun Life AMC Limited,30,Shareholder Equity Ratio (%),2024,0.9049159729857076
INE404A01024,Aditya Birla Sun Life AMC Limited,43,Revenue/Employee (₹),2020,114.11903881700555
INE404A01024,Aditya Birla Sun Life AMC Limited,43,Revenue/Employee (₹),2021,118.80211822660098
INE404A01024,Aditya Birla Sun Life AMC Limited,43,Revenue/Employee (₹),2022,143.43399185336048
INE404A01024,Aditya Birla Sun Life AMC Limited,43,Revenue/Employee (₹),2023,1.123402489626556
INE404A01024,Aditya Birla Sun Life AMC Limited,43,Revenue/Employee (₹),2024,1.2827052384675528
INE404A01024,Aditya Birla Sun Life AMC Limited,53,Revenue Growth (%),2020,
INE404A01024,Aditya Birla Sun Life AMC Limited,53,Revenue Growth (%),2021,-2.3426668005649716
INE404A01024,Aditya Birla Sun Life AMC Limited,53,Revenue Growth (%),2022,16.80820406330351
INE404A01024,Aditya Birla Sun Life AMC Limited,53,Revenue Growth (%),2023,-99.03892151331985
INE404A01024,Aditya Birla Sun Life AMC Limited,53,Revenue Growth (%),2024,21.19228780379699
INE404A01024,Aditya Birla Sun Life AMC Limited,6,Revenue from Operations/Share (₹),2020,685.4640555555555
INE404A01024,Aditya Birla Sun Life AMC Limited,6,Revenue from Operations/Share (₹),2021,661.6823333333334
INE404A01024,Aditya Birla Sun Life AMC Limited,6,Revenue from Operations/Share (₹),2022,44.8945
INE404A01024,Aditya Birla Sun Life AMC Limited,6,Revenue from Operations/Share (₹),2023,42.590624999999996
INE404A01024,Aditya Birla Sun Life AMC Limited,6,Revenue from Operations/Share (₹),2024,46.970887654251364
INE404A01024,Aditya Birla Sun Life AMC Limited,13,Return on insvertment (%),2020,39.13397159522704
INE404A01024,Aditya Birla Sun Life AMC Limited,13,Return on insvertment (%),2021,30.48688084140573
INE404A01024,Aditya Birla Sun Life AMC Limited,13,Return on insvertment (%),2022,31.719834978279387
INE404A01024,Aditya Birla Sun Life AMC Limited,13,Return on insvertment (%),2023,25.279229559548483
INE404A01024,Aditya Birla Sun Life AMC Limited,13,Return on insvertment (%),2024,24.994154706502208
INE404A01024,Aditya Birla Sun Life AMC Limited,59,Return on Equity (ROE) (%),2020,37.54366215835913
INE404A01024,Aditya Birla Sun Life AMC Limited,59,Return on Equity (ROE) (%),2021,30.87392313552875
INE404A01024,Aditya Birla Sun Life AMC Limited,59,Return on Equity (ROE) (%),2022,30.629882496605777
INE404A01024,Aditya Birla Sun Life AMC Limited,59,Return on Equity (ROE) (%),2023,23.694174390839855
INE404A01024,Aditya Birla Sun Life AMC Limited,59,Return on Equity (ROE) (%),2024,24.62573527555477
INE404A01024,Aditya Birla Sun Life AMC Limited,60,Return on Capital Employed (ROCE) (%),2020,
INE404A01024,Aditya Birla Sun Life AMC Limited,60,Return on Capital Employed (ROCE) (%),2021,
INE404A01024,Aditya Birla Sun Life AMC Limited,60,Return on Capital Employed (ROCE) (%),2022,
INE404A01024,Aditya Birla Sun Life AMC Limited,60,Return on Capital Employed (ROCE) (%),2023,
INE404A01024,Aditya Birla Sun Life AMC Limited,60,Return on Capital Employed (ROCE) (%),2024,
INE404A01024,Aditya Birla Sun Life AMC Limited,61,Return on Assets (ROA) (%),2020,31.451295906584974
